time,key,latency
2023-02-20T06:19:21Z,mongodb.insert,2220
2023-02-20T06:19:22Z,mongodb.insert,2087
2023-02-20T06:19:23Z,mongodb.insert,2168
2023-02-20T06:19:24Z,mongodb.insert,2169
2023-02-20T06:19:25Z,mongodb.insert,1990
2023-02-20T06:19:26Z,mongodb.insert,2000
2023-02-20T06:19:27Z,mongodb.insert,2032
2023-02-20T06:19:28Z,mongodb.insert,2265
2023-02-20T06:19:29Z,mongodb.insert,2158
2023-02-20T06:19:30Z,mongodb.insert,2142
2023-02-20T06:19:31Z,mongodb.insert,2020
2023-02-20T06:19:32Z,mongodb.insert,1858
2023-02-20T06:19:33Z,mongodb.insert,2141
2023-02-20T06:19:34Z,mongodb.insert,2010
2023-02-20T06:19:35Z,mongodb.insert,2103
2023-02-20T06:19:36Z,mongodb.insert,2084
2023-02-20T06:19:37Z,mongodb.insert,2133
2023-02-20T06:19:38Z,mongodb.insert,2094
2023-02-20T06:19:39Z,mongodb.insert,2044
2023-02-20T06:19:40Z,mongodb.insert,2068
2023-02-20T06:19:41Z,mongodb.insert,2328
2023-02-20T06:19:42Z,mongodb.insert,1670
2023-02-20T06:19:43Z,mongodb.insert,2220
2023-02-20T06:19:44Z,mongodb.insert,1938
2023-02-20T06:19:45Z,mongodb.insert,2076
2023-02-20T06:19:46Z,mongodb.insert,1993
2023-02-20T06:19:47Z,mongodb.insert,1934
2023-02-20T06:19:48Z,mongodb.insert,2174
2023-02-20T06:19:49Z,mongodb.insert,1886
2023-02-20T06:19:50Z,mongodb.insert,1949
2023-02-20T06:19:51Z,mongodb.insert,2136
2023-02-20T06:19:52Z,mongodb.insert,2057
2023-02-20T06:19:53Z,mongodb.insert,1969
2023-02-20T06:19:54Z,mongodb.insert,2565
2023-02-20T06:19:55Z,mongodb.insert,2555
2023-02-20T06:19:56Z,mongodb.insert,3007
2023-02-20T06:19:57Z,mongodb.insert,3434
2023-02-20T06:19:58Z,mongodb.insert,3148
2023-02-20T06:19:59Z,mongodb.insert,3557
2023-02-20T06:20:00Z,mongodb.insert,3035
2023-02-20T06:20:01Z,mongodb.insert,3434
2023-02-20T06:20:02Z,mongodb.insert,3440
2023-02-20T06:20:03Z,mongodb.insert,2743
2023-02-20T06:20:04Z,mongodb.insert,2778
2023-02-20T06:20:05Z,mongodb.insert,2309
2023-02-20T06:20:06Z,mongodb.insert,2017
2023-02-20T06:20:07Z,mongodb.insert,2245
2023-02-20T06:20:08Z,mongodb.insert,1966
2023-02-20T06:20:09Z,mongodb.insert,2016
2023-02-20T06:20:10Z,mongodb.insert,2246
2023-02-20T06:20:11Z,mongodb.insert,3439
2023-02-20T06:20:12Z,mongodb.insert,2835
2023-02-20T06:20:13Z,mongodb.insert,2741
2023-02-20T06:20:14Z,mongodb.insert,2399
2023-02-20T06:20:15Z,mongodb.insert,2032
2023-02-20T06:20:16Z,mongodb.insert,2134
2023-02-20T06:20:17Z,mongodb.insert,2189
2023-02-20T06:20:18Z,mongodb.insert,1969
2023-02-20T06:20:19Z,mongodb.insert,2033
2023-02-20T06:20:20Z,mongodb.insert,1952
2023-02-20T06:20:21Z,mongodb.insert,2010
2023-02-20T06:20:22Z,mongodb.insert,1951
2023-02-20T06:20:23Z,mongodb.insert,1871
2023-02-20T06:20:24Z,mongodb.insert,2025
2023-02-20T06:20:25Z,mongodb.insert,1920
2023-02-20T06:20:26Z,mongodb.insert,2258
2023-02-20T06:20:27Z,mongodb.insert,2018
2023-02-20T06:20:28Z,mongodb.insert,2362
2023-02-20T06:20:29Z,mongodb.insert,2198
2023-02-20T06:20:30Z,mongodb.insert,2116
2023-02-20T06:20:31Z,mongodb.insert,2474
2023-02-20T06:20:32Z,mongodb.insert,2391
2023-02-20T06:20:33Z,mongodb.insert,2036
2023-02-20T06:20:34Z,mongodb.insert,1999
2023-02-20T06:20:35Z,mongodb.insert,2014
2023-02-20T06:20:36Z,mongodb.insert,2081
2023-02-20T06:20:37Z,mongodb.insert,1954
2023-02-20T06:20:38Z,mongodb.insert,2023
2023-02-20T06:20:39Z,mongodb.insert,1929
2023-02-20T06:20:40Z,mongodb.insert,2065
2023-02-20T06:20:41Z,mongodb.insert,1927
2023-02-20T06:20:42Z,mongodb.insert,1951
2023-02-20T06:20:43Z,mongodb.insert,2107
2023-02-20T06:20:44Z,mongodb.insert,2085
2023-02-20T06:20:45Z,mongodb.insert,2741
2023-02-20T06:20:46Z,mongodb.insert,1981
2023-02-20T06:20:47Z,mongodb.insert,1967
2023-02-20T06:20:48Z,mongodb.insert,2538
2023-02-20T06:20:49Z,mongodb.insert,2084
2023-02-20T06:20:50Z,mongodb.insert,2526
2023-02-20T06:20:51Z,mongodb.insert,1966
2023-02-20T06:20:52Z,mongodb.insert,1946
2023-02-20T06:20:53Z,mongodb.insert,2096
2023-02-20T06:20:54Z,mongodb.insert,1964
2023-02-20T06:20:55Z,mongodb.insert,2180
2023-02-20T06:20:56Z,mongodb.insert,1951
2023-02-20T06:20:57Z,mongodb.insert,2018
2023-02-20T06:20:58Z,mongodb.insert,2096
2023-02-20T06:20:59Z,mongodb.insert,2051
2023-02-20T06:21:00Z,mongodb.insert,2230
2023-02-20T06:21:01Z,mongodb.insert,2072
2023-02-20T06:21:02Z,mongodb.insert,2044
2023-02-20T06:21:03Z,mongodb.insert,1988
2023-02-20T06:21:04Z,mongodb.insert,2042
2023-02-20T06:21:05Z,mongodb.insert,5134
2023-02-20T06:21:06Z,mongodb.insert,4137
2023-02-20T06:21:07Z,mongodb.insert,3140
