time,key,latency
2023-02-15T09:22:49Z,singlestore.insert,360
2023-02-15T09:22:50Z,singlestore.insert,398
2023-02-15T09:22:51Z,singlestore.insert,334
2023-02-15T09:22:52Z,singlestore.insert,341
2023-02-15T09:22:53Z,singlestore.insert,375
2023-02-15T09:22:54Z,singlestore.insert,381
2023-02-15T09:22:55Z,singlestore.insert,330
2023-02-15T09:22:56Z,singlestore.insert,371
2023-02-15T09:22:57Z,singlestore.insert,377
2023-02-15T09:22:58Z,singlestore.insert,407
2023-02-15T09:22:59Z,singlestore.insert,371
2023-02-15T09:23:00Z,singlestore.insert,388
2023-02-15T09:23:01Z,singlestore.insert,369
2023-02-15T09:23:02Z,singlestore.insert,368
2023-02-15T09:23:03Z,singlestore.insert,353
2023-02-15T09:23:04Z,singlestore.insert,397
2023-02-15T09:23:05Z,singlestore.insert,374
2023-02-15T09:23:06Z,singlestore.insert,417
2023-02-15T09:23:07Z,singlestore.insert,373
2023-02-15T09:23:08Z,singlestore.insert,369
2023-02-15T09:23:09Z,singlestore.insert,365
2023-02-15T09:23:10Z,singlestore.insert,381
2023-02-15T09:23:11Z,singlestore.insert,477
2023-02-15T09:23:12Z,singlestore.insert,372
2023-02-15T09:23:13Z,singlestore.insert,405
2023-02-15T09:23:14Z,singlestore.insert,360
2023-02-15T09:23:15Z,singlestore.insert,409
2023-02-15T09:23:16Z,singlestore.insert,398
2023-02-15T09:23:17Z,singlestore.insert,414
2023-02-15T09:23:18Z,singlestore.insert,408
2023-02-15T09:23:19Z,singlestore.insert,404
2023-02-15T09:23:20Z,singlestore.insert,474
2023-02-15T09:23:21Z,singlestore.insert,375
2023-02-15T09:23:22Z,singlestore.insert,464
2023-02-15T09:23:23Z,singlestore.insert,429
2023-02-15T09:23:24Z,singlestore.insert,402
2023-02-15T09:23:25Z,singlestore.insert,384
2023-02-15T09:23:26Z,singlestore.insert,415
2023-02-15T09:23:27Z,singlestore.insert,456
2023-02-15T09:23:28Z,singlestore.insert,356
2023-02-15T09:23:29Z,singlestore.insert,394
2023-02-15T09:23:30Z,singlestore.insert,384
2023-02-15T09:23:31Z,singlestore.insert,348
